"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","CellType","Comparison","Direction"
"ATF3",0.0000000000110992330646791,-2.54703822568119,0.101,0.221,0.000000406243029400321,"Dendritic cells","Healthy_vs_SNMG_Pre","Downregulated"
"MAFF",0.0000000000566245579002687,-2.44400009634446,0.074,0.18,0.00000207251544370774,"Dendritic cells","Healthy_vs_SNMG_Pre","Downregulated"
"AC020916.1",0.0000000056608048097507,-2.37238855794672,0.226,0.33,0.000207191116841685,"Dendritic cells","Healthy_vs_SNMG_Pre","Downregulated"
"TIPARP",0.000000000000142478854631416,-2.31708343890762,0.178,0.325,0.00000000521486855836445,"Dendritic cells","Healthy_vs_SNMG_Pre","Downregulated"
"ZNF331",0.00000000137133920477281,2.25613736655679,0.267,0.146,0.0000501923862338896,"Dendritic cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"NR4A3",0.00000000000313699542557545,2.25468559483146,0.224,0.091,0.000000114817169571487,"Dendritic cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"ID1",0.00000123770915251712,2.24584263442002,0.143,0.064,0.0453013926912792,"Dendritic cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"JUN",0.000000135087079375551,-2.19106744083179,0.149,0.246,0.00494432219222455,"Dendritic cells","Healthy_vs_SNMG_Pre","Downregulated"
"MYL4",0.00000000000000700165854402016,6.38429876505954,0.111,0.011,0.000000000256267704369682,"Monocytes","Healthy_vs_AChR_MG","Upregulated"
"ADAMTS2",0.00000000000000000200491469746002,-5.41451874608196,0.002,0.128,0.0000000000000733818828417343,"Monocytes","Healthy_vs_SNMG_Pre","Downregulated"
"MYL4",0.000000309784373037623,3.75838555409617,0.111,0.041,0.01133841783755,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"IL1R2",0.00000000000000000000622631877240969,-3.65824062453353,0.036,0.212,0.000000000000000227889493388967,"Monocytes","Healthy_vs_SNMG_Pre","Downregulated"
"SRGAP1",0.00000000000000000188304128932802,-3.54438964014294,0.026,0.177,0.0000000000000689211942306948,"Monocytes","Healthy_vs_SNMG_Pre","Downregulated"
"JUN",0.000000000703741270793193,-2.80538224082618,0.165,0.288,0.0000257576342523017,"Monocytes","Healthy_vs_SNMG_Pre","Downregulated"
"FOSB",0.00000000274037113697116,-2.6440911502486,0.236,0.341,0.000100300323984281,"Monocytes","Healthy_vs_SNMG_Pre","Downregulated"
"FLT3",0.00000000000138943079571491,-2.55563283540162,0.038,0.156,0.0000000508545565539614,"Monocytes","Healthy_vs_SNMG_Pre","Downregulated"
"SAP30",0.000000000000000000000000000000000000000000000139553248207015,-2.51618362763142,0.206,0.557,0.00000000000000000000000000000000000000000510778843762495,"Monocytes","Healthy_vs_SNMG_Pre","Downregulated"
