"Gene","CellTypes","Comparisons","Occurrences","Mean_Log2FC","Mean_Abs_Log2FC","MinPadj",".Direction"
"PRUNE1",1,1,1,-0.886285374335194,0.886285374335194,1,"drop"
"NAP1L5",1,1,1,0.886135859687336,0.886135859687336,1,"drop"
"AL136454.1",1,1,1,0.882807609815646,0.882807609815646,1,"drop"
"EHD2",1,1,1,-0.881775525477728,0.881775525477728,1,"drop"
"XACT",1,1,1,-0.881030507828229,0.881030507828229,1,"drop"
"NFS1",1,1,1,-0.880542933959976,0.880542933959976,1,"drop"
"CUL9",1,1,1,-0.877743749044843,0.877743749044843,1,"drop"
"ZNF567",1,1,1,-0.877184381875539,0.877184381875539,1,"drop"
"RAC3",1,1,1,-0.873881028361879,0.873881028361879,1,"drop"
"TRAF1",1,1,1,-0.873379658267817,0.873379658267817,1,"drop"
"LGALSL",1,1,1,0.872568939241181,0.872568939241181,1,"drop"
"AC097382.3",1,1,1,-0.868750983575896,0.868750983575896,1,"drop"
"SYDE2",1,1,1,-0.868200947675815,0.868200947675815,1,"drop"
"CXCR5",1,1,1,0.865789497236546,0.865789497236546,1,"drop"
"U62317.4",1,1,1,-0.863477965159605,0.863477965159605,1,"drop"
"TNF",1,1,1,-0.863348622314596,0.863348622314596,1,"drop"
"BCO2",1,1,1,0.862813403520879,0.862813403520879,1,"drop"
"STIMATE",1,1,1,-0.861025734121287,0.861025734121287,1,"drop"
"ZNF155",1,1,1,-0.860622989589839,0.860622989589839,1,"drop"
"SLC25A15",1,1,1,-0.860271536142483,0.860271536142483,1,"drop"
"CRAT",1,1,1,0.858115165543149,0.858115165543149,1,"drop"
"NEMP1",1,1,1,-0.856928602734426,0.856928602734426,1,"drop"
"L3HYPDH",1,1,1,-0.855088869022542,0.855088869022542,1,"drop"
"ZC4H2",1,1,1,-0.84761700118445,0.84761700118445,1,"drop"
"AC007032.1",1,1,1,0.845441701906478,0.845441701906478,1,"drop"
"RFK",1,1,1,-0.844989888572194,0.844989888572194,1,"drop"
"FILIP1L",1,1,1,-0.840104567755859,0.840104567755859,1,"drop"
"RELB",1,1,1,-0.83858066001807,0.83858066001807,1,"drop"
"COQ6",1,1,1,0.833656133689492,0.833656133689492,1,"drop"
"YTHDF3-AS1",1,1,1,-0.828686966699182,0.828686966699182,1,"drop"
"ZSCAN2",1,1,1,-0.827657956293751,0.827657956293751,1,"drop"
"HSDL1",1,1,1,-0.825485594549463,0.825485594549463,1,"drop"
"SEC61A2",1,1,1,0.824642752652681,0.824642752652681,1,"drop"
"AC110611.2",1,1,1,0.822543646470281,0.822543646470281,1,"drop"
"ADAM15",1,1,1,-0.820383757803131,0.820383757803131,1,"drop"
"FXYD1",1,1,1,0.817621629744163,0.817621629744163,1,"drop"
