"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IL13RA1",0.0133906530657474,-0.548645405529119,0.104,0.147,1
"LYN",0.0134335507551195,0.315598316919752,0.53,0.525,1
"PLEKHF2",0.0134477008609988,-0.272103128590814,0.363,0.435,1
"HHEX",0.0135476493926656,0.505290965111404,0.344,0.301,1
"CYTIP",0.0136225733720527,0.357873306382563,0.512,0.486,1
"SLAIN2",0.0136495644369516,-0.326736422701087,0.133,0.187,1
"PAIP2",0.013674035373455,0.388791707836112,0.538,0.543,1
"ZMYM5",0.0138807320271962,-0.375928098709162,0.066,0.103,1
"ZNF83",0.0138818040358663,-0.322250475782097,0.104,0.15,1
"PALM2-AKAP2",0.0139550019271423,0.354936824540637,0.439,0.414,1
"AL627171.2",0.0142070906647801,-0.270769937412132,0.101,0.148,1
"SNRNP35",0.0142690065998738,-0.455068268553596,0.109,0.153,1
"ACAT2",0.0142913493139224,-0.290349278617853,0.064,0.101,1
"DPP9",0.0142942823210941,-0.28705833735654,0.063,0.1,1
"MESD",0.0143782999428982,-0.285939777162265,0.142,0.196,1
"MYO1F",0.0148591718629732,-0.359642452088373,0.073,0.111,1
"PRPF31",0.0151666038637103,-0.289897729709256,0.124,0.172,1
"ZNF428",0.0152958323582203,0.807899539103161,0.14,0.101,1
"HPRT1",0.015395848295904,-0.311129196280324,0.117,0.166,1
"TXNDC9",0.0154541548641806,-0.411775838250658,0.079,0.119,1
"CCDC92",0.0154871589009533,-0.357031649405734,0.063,0.1,1
"UQCC2",0.0154954794735572,-0.256347676689872,0.085,0.127,1
"GMFB",0.0157417495526168,0.672603097046697,0.197,0.155,1
"SLC66A3",0.0160470805101277,-0.444576262632659,0.064,0.1,1
"HOTAIRM1",0.0161688421158307,-0.339813116752071,0.077,0.116,1
"SFXN1",0.0162071438467041,-0.380463056419874,0.074,0.113,1
"DGKD",0.0162103785944625,0.468432523645518,0.315,0.277,1
"EIF1B",0.0163541457703849,0.344455572726948,0.54,0.539,1
"PIH1D1",0.0163648181518947,-0.421493918634497,0.103,0.147,1
"MT-ND6",0.0164244221796159,0.6765097472953,0.247,0.209,1
"PTDSS1",0.0164665827586603,-0.278728053210137,0.115,0.163,1
"HSF1",0.0166574276596784,-0.322643606250126,0.106,0.151,1
"NADK",0.0166713255633037,-0.489107809522136,0.077,0.114,1
"VGLL4",0.0168012025936814,-0.395512445771502,0.066,0.101,1
"GTF2F2",0.016830612050474,-0.306338030852396,0.12,0.169,1
"OPTN",0.0168555353364668,-0.306151007273829,0.124,0.172,1
"TCF4",0.0169192902140998,0.257244007734941,0.54,0.52,1
"PPA2",0.0171951618746996,-0.491439395929702,0.075,0.114,1
"NIPAL3",0.0172111800375452,-0.31899362713208,0.068,0.105,1
"IFIH1",0.0172125853707239,-0.292529429314092,0.091,0.134,1
"TRIM4",0.0172716562536863,-0.311473299940802,0.073,0.111,1
"GNG11",0.0173086342254393,1.1776562580563,0.13,0.093,1
"TUT4",0.017400363560477,0.448710294859936,0.384,0.353,1
"UHRF1BP1L",0.017482086351817,0.942380546059838,0.12,0.084,1
"NCK2",0.0175630789501498,0.398222948829443,0.424,0.383,1
"RNF166",0.0175687936483966,-0.309117818858156,0.095,0.138,1
"BCL10",0.0175794920789865,0.408334977496582,0.402,0.37,1
"AKNA",0.0175937431374723,-0.308413561627029,0.221,0.283,1
"HUWE1",0.0176013098190681,-0.28119357801094,0.161,0.214,1
"ABCE1",0.0177807393845843,-0.290893694631356,0.176,0.232,1
"SULF2",0.0178982501276473,0.8518211287919,0.169,0.132,1
"FH",0.0179043165064502,-0.2525214754254,0.069,0.106,1
"ESYT2",0.0179467140608693,-0.391111525296587,0.068,0.105,1
"LINC00513",0.0180207163365141,-0.318547013057737,0.09,0.132,1
"OTULIN",0.0181280302637441,-0.346282142737138,0.095,0.138,1
"HECTD4",0.0182864966017698,0.614215117319617,0.132,0.093,1
"TSR3",0.018527848916067,-0.279183768499199,0.177,0.232,1
"SLC2A3",0.0185567858721206,-0.535152259441137,0.193,0.242,1
"TAF8",0.0186552432676131,-0.387362882335087,0.094,0.135,1
"NOP14",0.0188042232990043,-0.427535368966127,0.077,0.114,1
"INTS11",0.0191024799936413,-0.322786030859431,0.09,0.132,1
"SLC35E3",0.0194036200087929,-0.261182215407334,0.099,0.142,1
"SEC61A1",0.0197368950353634,-0.540296932461464,0.077,0.114,1
"PIM1",0.0198965118975496,-0.363946144796274,0.12,0.164,1
"RFTN1",0.0200074262620124,0.647489684937455,0.159,0.121,1
"ORC4",0.0204387156685804,-0.268078021749105,0.089,0.13,1
"SSH2",0.0204401999204844,0.530404027002259,0.324,0.291,1
