"Gene","CellType_Frequency","Comparison_Frequency","Mean_Log2FC","Median_Log2FC","Mean_Abs_Log2FC","Max_Abs_Log2FC","Min_Adjusted_P","Median_Adjusted_P","Category"
"MKNK1",1,1,-1.50049998761792,-1.50049998761792,1.50049998761792,1.50049998761792,0.0054953799571923,0.0054953799571923,"Cell-type-specific"
"C3AR1",1,1,-1.49283391820864,-1.49283391820864,1.49283391820864,1.49283391820864,0.0000168574091277061,0.0000168574091277061,"Cell-type-specific"
"DUSP6",1,1,-1.47495702385464,-1.47495702385464,1.47495702385464,1.47495702385464,0.0000116798352150029,0.0000116798352150029,"Cell-type-specific"
"LIME1",1,1,-1.46639858662228,-1.46639858662228,1.46639858662228,1.46639858662228,0.00000598431534951748,0.00000598431534951748,"Cell-type-specific"
"NAB2",1,1,-1.465372400571,-1.465372400571,1.465372400571,1.465372400571,0.00000544050412020661,0.00000544050412020661,"Cell-type-specific"
"CPM",1,1,-1.45819974037745,-1.45819974037745,1.45819974037745,1.45819974037745,0.000121432848414601,0.000121432848414601,"Cell-type-specific"
"LDLRAD3",1,1,-1.42673845156251,-1.42673845156251,1.42673845156251,1.42673845156251,0.0482445590746078,0.0482445590746078,"Cell-type-specific"
"HIPK2",1,1,-1.40699202977429,-1.40699202977429,1.40699202977429,1.40699202977429,0.0000000275721318714567,0.0000000275721318714567,"Cell-type-specific"
"BTG2",1,1,1.40574588762677,1.40574588762677,1.40574588762677,1.40574588762677,0.000000000000000000000246847374471051,0.000000000000000000000246847374471051,"Cell-type-specific"
"ITGB3",1,1,1.39066298450494,1.39066298450494,1.39066298450494,1.39066298450494,0.0297891353660614,0.0297891353660614,"Cell-type-specific"
"BCL7A",1,1,1.38877763510747,1.38877763510747,1.38877763510747,1.38877763510747,0.00000000000000112617028180515,0.00000000000000112617028180515,"Cell-type-specific"
"MCTP2",1,1,-1.38160631282578,-1.38160631282578,1.38160631282578,1.38160631282578,0.000106813704126664,0.000106813704126664,"Cell-type-specific"
"RGS18",1,1,1.37283458389861,1.37283458389861,1.37283458389861,1.37283458389861,0.0184019672722106,0.0184019672722106,"Cell-type-specific"
"PUS3",1,1,-1.35188307124409,-1.35188307124409,1.35188307124409,1.35188307124409,0.0201099566563838,0.0201099566563838,"Cell-type-specific"
