"Gene","CellType_Frequency","Comparison_Frequency","Mean_Log2FC","Median_Log2FC","Mean_Abs_Log2FC","Max_Abs_Log2FC","Min_Adjusted_P","Median_Adjusted_P","Category"
"SMDT1",1,1,0.575504464506269,0.575504464506269,0.575504464506269,0.575504464506269,0.0000000563599616235208,0.0000000563599616235208,"Cell-type-specific"
"COCH",1,1,-1.95872935109496,-1.95872935109496,1.95872935109496,1.95872935109496,0.0000000681821365685457,0.0000000681821365685457,"Cell-type-specific"
"AFF3",1,1,0.5664599339393,0.5664599339393,0.5664599339393,0.5664599339393,0.000000221615472436615,0.000000221615472436615,"Cell-type-specific"
"PRDM1",3,1,-1.07098485320101,-0.956628029378292,1.07098485320101,1.6472366105713,0.000000000000000000535339123225746,0.000000581409844112391,"Moderately recurrent (3-4)"
"CLEC2D",1,1,0.769376327246259,0.769376327246259,0.769376327246259,0.769376327246259,0.000000724377779888965,0.000000724377779888965,"Cell-type-specific"
"APLP2",1,1,0.905744867956753,0.905744867956753,0.905744867956753,0.905744867956753,0.00000103363463542654,0.00000103363463542654,"Cell-type-specific"
"CDKN1A",2,2,0.190962714508543,0.167839896109845,1.71872997048503,2.36207196763858,0.000000242381642375189,0.0000213592599465597,"Shared across 2 cell types"
"CFLAR",1,1,-0.781229395856948,-0.781229395856948,0.781229395856948,0.781229395856948,0.00000125023127738667,0.00000125023127738667,"Cell-type-specific"
"IGHG1",1,1,1.67276897686824,1.67276897686824,1.67276897686824,1.67276897686824,0.00000153561939159436,0.00000153561939159436,"Cell-type-specific"
"PLPP5",1,1,0.711084918225332,0.711084918225332,0.711084918225332,0.711084918225332,0.00000268313528032078,0.00000268313528032078,"Cell-type-specific"
"SESN1",2,2,-1.25827065247417,-1.25827065247417,1.25827065247417,1.48882408612643,0.00000360469596792013,0.000102898813451895,"Shared across 2 cell types"
"S100A10",1,1,-0.912262129562798,-0.912262129562798,0.912262129562798,0.912262129562798,0.00000368844628624226,0.00000368844628624226,"Cell-type-specific"
"AIM2",1,1,-0.948878747240153,-0.948878747240153,0.948878747240153,0.948878747240153,0.00000519000847195242,0.00000519000847195242,"Cell-type-specific"
"LIME1",1,1,-1.46639858662228,-1.46639858662228,1.46639858662228,1.46639858662228,0.00000598431534951748,0.00000598431534951748,"Cell-type-specific"
"FAM111B",1,1,2.10871225304987,2.10871225304987,2.10871225304987,2.10871225304987,0.00000834118322617928,0.00000834118322617928,"Cell-type-specific"
"ADGRE5",1,1,-1.23780917449087,-1.23780917449087,1.23780917449087,1.23780917449087,0.0000099172835612357,0.0000099172835612357,"Cell-type-specific"
"IGHG2",1,1,-1.32873345842336,-1.32873345842336,1.32873345842336,1.32873345842336,0.000010342312513748,0.000010342312513748,"Cell-type-specific"
"PPP1R15A",4,2,-0.427499695353446,-1.28375920643991,1.93513899663233,2.94094778284452,0.00000000000669600023483929,0.0000196847497403518,"Moderately recurrent (3-4)"
"LINC00926",1,1,0.551397707093167,0.551397707093167,0.551397707093167,0.551397707093167,0.0000131673138809839,0.0000131673138809839,"Cell-type-specific"
"DUSP2",1,1,-1.65216919533459,-1.65216919533459,1.65216919533459,1.65216919533459,0.0000195119854152669,0.0000195119854152669,"Cell-type-specific"
"CLECL1",2,2,-0.920230381756956,-0.920230381756956,0.920230381756956,1.02248605236377,0.0000217979094417313,0.0000492400890842272,"Shared across 2 cell types"
"RGS1",2,1,-2.29894037997548,-2.29894037997548,2.29894037997548,2.55088061619002,0.00000000100226244772354,0.0000118787646985014,"Shared across 2 cell types"
"GAPDH",1,1,-0.538773538007528,-0.538773538007528,0.538773538007528,0.538773538007528,0.0000256041199159892,0.0000256041199159892,"Cell-type-specific"
"TAGAP",4,3,-0.100933113925332,-0.697905150092262,0.84748134321605,1.08246623530705,0.0000000746385948857712,0.000200021713884087,"Moderately recurrent (3-4)"
"TSTD1",1,1,0.680233615300479,0.680233615300479,0.680233615300479,0.680233615300479,0.00004245291435733,0.00004245291435733,"Cell-type-specific"
"C16orf54",1,1,-1.14013897511097,-1.14013897511097,1.14013897511097,1.14013897511097,0.0000451304852342535,0.0000451304852342535,"Cell-type-specific"
"ELL2",2,1,-2.09930628570149,-2.09930628570149,2.09930628570149,2.58581261673419,0.0000301456038795283,0.0000412638927323272,"Shared across 2 cell types"
"KLF10",3,2,-0.137771347036552,0.509885732881444,0.847740913901828,1.47826839140757,0.0000649193290656937,0.000566739900916931,"Moderately recurrent (3-4)"
"VOPP1",1,1,-0.741149793485753,-0.741149793485753,0.741149793485753,0.741149793485753,0.0000722206756674891,0.0000722206756674891,"Cell-type-specific"
"TUBB6",2,1,-1.27312729190849,-1.27312729190849,1.27312729190849,1.82240135029275,0.0000806655936866696,0.00267387769828101,"Shared across 2 cell types"
"PTPN18",1,1,-0.945160048057404,-0.945160048057404,0.945160048057404,0.945160048057404,0.000100045568289747,0.000100045568289747,"Cell-type-specific"
"TOR3A",1,1,-0.907634938160281,-0.907634938160281,0.907634938160281,0.907634938160281,0.000117569041466832,0.000117569041466832,"Cell-type-specific"
"TMEM123",2,1,1.17068442283965,1.17068442283965,1.17068442283965,1.70558918218991,0.00000076251314327864,0.0000619023567834763,"Shared across 2 cell types"
"ANXA2",1,1,-0.666488048269804,-0.666488048269804,0.666488048269804,0.666488048269804,0.000150294636290012,0.000150294636290012,"Cell-type-specific"
"VASP",1,1,-0.644545579858408,-0.644545579858408,0.644545579858408,0.644545579858408,0.000159870080236224,0.000159870080236224,"Cell-type-specific"
"TMEM238",1,1,-0.857793932307059,-0.857793932307059,0.857793932307059,0.857793932307059,0.000256342917065729,0.000256342917065729,"Cell-type-specific"
"H1FX",1,1,0.760876027653454,0.760876027653454,0.760876027653454,0.760876027653454,0.000281493794617678,0.000281493794617678,"Cell-type-specific"
"RILPL2",1,1,-0.71491183797178,-0.71491183797178,0.71491183797178,0.71491183797178,0.000368363744504637,0.000368363744504637,"Cell-type-specific"
"CRIP2",1,1,-1.88962876162029,-1.88962876162029,1.88962876162029,1.88962876162029,0.000399385271870406,0.000399385271870406,"Cell-type-specific"
"SAMSN1",3,3,-0.476786730703727,-0.884432483849124,1.01405214120933,1.21281277612787,0.0000000000000000303224229899026,0.00137437172093175,"Moderately recurrent (3-4)"
"SRGN",2,2,-0.838593940751802,-0.838593940751802,0.838593940751802,1.10040447898922,0.000443449313565742,0.000481597960153648,"Shared across 2 cell types"
"CASP8",1,1,-0.77814815374058,-0.77814815374058,0.77814815374058,0.77814815374058,0.000520718741183438,0.000520718741183438,"Cell-type-specific"
"MARCKS",3,1,0.337885833181728,0.531633084549181,0.675275373057984,0.988108724810386,0.00000270550664555785,0.000572604771145095,"Moderately recurrent (3-4)"
"ARL4A",2,1,-1.25654272221619,-1.25654272221619,1.25654272221619,1.68079118565193,0.0000000000000000013934092460678,0.000335354443832275,"Shared across 2 cell types"
"IFT57",1,1,-0.516065041729962,-0.516065041729962,0.516065041729962,0.516065041729962,0.000859954456248832,0.000859954456248832,"Cell-type-specific"
"FAM102A",1,1,-1.04175260193592,-1.04175260193592,1.04175260193592,1.04175260193592,0.000879931649067492,0.000879931649067492,"Cell-type-specific"
"SNHG16",1,1,-0.634359987235953,-0.634359987235953,0.634359987235953,0.634359987235953,0.00091518469877613,0.00091518469877613,"Cell-type-specific"
"FCER2",1,1,0.676146775288374,0.676146775288374,0.676146775288374,0.676146775288374,0.000922266023529155,0.000922266023529155,"Cell-type-specific"
"RTN4",1,1,-0.695248038314179,-0.695248038314179,0.695248038314179,0.695248038314179,0.00116615084627857,0.00116615084627857,"Cell-type-specific"
"SMARCB1",1,1,-0.590133086049087,-0.590133086049087,0.590133086049087,0.590133086049087,0.0013242177572985,0.0013242177572985,"Cell-type-specific"
"PLP2",2,1,-0.558617513182826,-0.558617513182826,0.558617513182826,0.596055361120563,0.000586054317190519,0.00109578350656469,"Shared across 2 cell types"
"GPR183",1,1,-0.54767159471746,-0.54767159471746,0.54767159471746,0.54767159471746,0.00175810258097466,0.00175810258097466,"Cell-type-specific"
"CSGALNACT1",2,1,-1.1455625634439,-1.1455625634439,1.1455625634439,1.2934838402951,0.001949248473111,0.00201312239899402,"Shared across 2 cell types"
"CD27",1,1,-0.862441922479064,-0.862441922479064,0.862441922479064,0.862441922479064,0.0021079128113151,0.0021079128113151,"Cell-type-specific"
"TLE3",2,1,-0.053442359727599,-0.053442359727599,0.837708067859455,0.891150427587054,0.0000617298082942664,0.00132077959173897,"Shared across 2 cell types"
"IGHG4",1,1,-2.56623044912162,-2.56623044912162,2.56623044912162,2.56623044912162,0.00329667732899976,0.00329667732899976,"Cell-type-specific"
"BHLHE41",1,1,-1.26470745358124,-1.26470745358124,1.26470745358124,1.26470745358124,0.00362624362093351,0.00362624362093351,"Cell-type-specific"
"SH3GLB2",1,1,-0.9196345834705,-0.9196345834705,0.9196345834705,0.9196345834705,0.00384239401532484,0.00384239401532484,"Cell-type-specific"
"S100A4",1,1,-0.74304142816182,-0.74304142816182,0.74304142816182,0.74304142816182,0.00476833050206954,0.00476833050206954,"Cell-type-specific"
