"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","CellType","Comparison","Direction"
"LINC01138",0.000000000108613838310788,0.674278388832889,0.567,0.426,0.00000397537509601315,"CD8 T cells","Healthy_vs_SNMG_Pre","Upregulated"
"NFKBIA",0.0000000780427385762401,0.546597099651062,0.631,0.536,0.00285644227462896,"CD8 T cells","Healthy_vs_SNMG_Pre","Upregulated"
"BIRC3",0.0000005526912845657,0.770027802587473,0.316,0.207,0.0202290537063892,"CD8 T cells","Healthy_vs_SNMG_Pre","Upregulated"
"MT-ND3",0.0000000000000000000000000000000000000000000000000000000000017176130435542,0.60870348370742,1,1,0.0000000000000000000000000000000000000000000000000000000628663550071273,"CD8 T cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"RPS26",0.000000000000000000000000000000000000000000000000000000000000000000352944681166453,1.1204444897857,0.988,0.99,0.0000000000000000000000000000000000000000000000000000000000000129181282753734,"Dendritic cells","Healthy_vs_AChR_MG","Upregulated"
"PIK3R1",0.0000000593573256442555,0.506491110219394,0.712,0.659,0.00217253747590539,"Dendritic cells","Healthy_vs_AChR_MG","Upregulated"
"IFI44L",0.00000000000000000000000000000000175502289162539,3.20886747633893,0.331,0.073,0.000000000000000000000000000064235592856381,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"MX1",0.000000000000000000000490682535260454,1.45696192330815,0.533,0.317,0.0000000000000000179594714730679,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"RPS26",0.00000000000000000000087049074334801,0.619068498807822,0.988,0.984,0.0000000000000000318608316972805,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"EIF2AK2",0.000000000000000023464820796607,1.10020701257521,0.565,0.398,0.000000000000858835905976612,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"CDKN2D",0.000000000000000258512335401467,0.642713459931785,0.827,0.763,0.00000000000946180998802911,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"XAF1",0.000000000000015295391183684,1.11465652291299,0.519,0.361,0.000000000559826612714017,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"STAT1",0.000000000000239287723554922,0.940678276041734,0.6,0.468,0.00000000875816996983372,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"ISG15",0.00000000000452205104478668,1.13714837772217,0.533,0.42,0.000000165511590290237,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"CBX6",0.0000000000138682612646435,0.697673757749429,0.614,0.473,0.000000507592230547216,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"OAS2",0.00000000133411596201751,1.07163875756643,0.375,0.239,0.000048829978325803,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"SCO2",0.00000000136100074755945,0.822087223916858,0.538,0.418,0.0000498139883614234,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"IFI6",0.00000000242003300312641,1.20089478533492,0.335,0.211,0.0000885756279474296,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"MX2",0.0000000040398868255901,0.903269075839781,0.449,0.322,0.000147863897703423,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"IFI44",0.0000000217434950778216,1.45097196037248,0.215,0.111,0.00079583366334335,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"FAM107B",0.0000000335246889566751,0.580979189125871,0.542,0.413,0.00122703714050326,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
