"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","CellType","Comparison","Direction"
"CX3CR1",0.0000000116846590827347,-0.607251213015051,0.286,0.439,0.000427670207087174,"NK cells","Healthy_vs_AChR_MG","Downregulated"
"MTRNR2L1",0.00000000382628093978148,-1.49634395577852,0.047,0.137,0.000140045708676942,"T cells","Healthy_vs_AChR_MG","Downregulated"
"APOL2",0.000000655438834914141,-1.19756273341802,0.078,0.161,0.0239897167966925,"T cells","Healthy_vs_AChR_MG","Downregulated"
"GIMAP4",0.00000000000000000000275021577078117,-0.89278335992327,0.446,0.663,0.000000000000000100660647426361,"T cells","Healthy_vs_AChR_MG","Downregulated"
"DYNLL1",0.00000000000000127586588482816,-0.891986295100542,0.277,0.475,0.0000000000466979672505955,"T cells","Healthy_vs_AChR_MG","Downregulated"
"S100A11",0.000000000000000000000264584749003238,-0.886408128473876,0.477,0.69,0.00000000000000000968406639826751,"T cells","Healthy_vs_AChR_MG","Downregulated"
"GIMAP1",0.00000000205627899668499,-0.84138189331943,0.21,0.346,0.0000752618675576673,"T cells","Healthy_vs_AChR_MG","Downregulated"
"PYCARD",0.000000259081273918256,-0.801591155813754,0.189,0.304,0.0094826337066821,"T cells","Healthy_vs_AChR_MG","Downregulated"
"GIMAP5",0.00000000406356782090909,-0.79095398116053,0.232,0.365,0.000148730645813094,"T cells","Healthy_vs_AChR_MG","Downregulated"
"PLEK",0.000000000000257944430217001,-0.754950482502235,0.454,0.615,0.00000000944102409037246,"T cells","Healthy_vs_AChR_MG","Downregulated"
"LGALS1",0.000000195243890009013,-0.714136652280058,0.473,0.573,0.00714612161821989,"T cells","Healthy_vs_AChR_MG","Downregulated"
"TAGAP",0.000000318387357519308,-0.697905150092262,0.223,0.344,0.0116532956725642,"T cells","Healthy_vs_AChR_MG","Downregulated"
"GIMAP7",0.0000000000000000928259935102694,-0.652062890136542,0.594,0.756,0.00000000000339752418846937,"T cells","Healthy_vs_AChR_MG","Downregulated"
"FDX1",0.00000093112853837805,-0.649920635071626,0.2,0.315,0.034080235633175,"T cells","Healthy_vs_AChR_MG","Downregulated"
"APOBEC3G",0.00000000432308280837981,-0.593577661039664,0.366,0.513,0.000158229153869509,"T cells","Healthy_vs_AChR_MG","Downregulated"
"LCK",0.0000000000206227466852345,-0.531899181185643,0.583,0.703,0.000000754813151426268,"T cells","Healthy_vs_AChR_MG","Downregulated"
"FOSB",0.00000000000000000000000000000000000000000105188857680581,-6.14574021499246,0.011,0.238,0.0000000000000000000000000000000000000385001737996695,"B cells","Healthy_vs_SNMG_Pre","Downregulated"
"AC020916.1",0.0000000000000000000000159769916872258,-4.47520893024785,0.012,0.15,0.000000000000000000584773872744152,"B cells","Healthy_vs_SNMG_Pre","Downregulated"
"FOS",0.0000000000000620230270582691,-3.16213375183204,0.137,0.279,0.00000000227010481335971,"B cells","Healthy_vs_SNMG_Pre","Downregulated"
