"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","CellType","Comparison","Direction"
"IFI44L",0.00000000000000000000000000000000175502289162539,3.20886747633893,0.331,0.073,0.000000000000000000000000000064235592856381,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"MX1",0.000000000000000000000490682535260454,1.45696192330815,0.533,0.317,0.0000000000000000179594714730679,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"IFI44",0.0000000217434950778216,1.45097196037248,0.215,0.111,0.00079583366334335,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"IFI6",0.00000000242003300312641,1.20089478533492,0.335,0.211,0.0000885756279474296,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"ISG15",0.00000000000452205104478668,1.13714837772217,0.533,0.42,0.000000165511590290237,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"XAF1",0.000000000000015295391183684,1.11465652291299,0.519,0.361,0.000000000559826612714017,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"EIF2AK2",0.000000000000000023464820796607,1.10020701257521,0.565,0.398,0.000000000000858835905976612,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"OAS2",0.00000000133411596201751,1.07163875756643,0.375,0.239,0.000048829978325803,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"STAT1",0.000000000000239287723554922,0.940678276041734,0.6,0.468,0.00000000875816996983372,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"TMEM156",0.000000957653082480087,0.90433811064884,0.269,0.166,0.0350510604718537,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"MX2",0.0000000040398868255901,0.903269075839781,0.449,0.322,0.000147863897703423,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"HERC5",0.00000084818824373227,0.878398414771172,0.223,0.122,0.0310445379088448,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"SAMD9L",0.0000000866791500745973,0.875612329270294,0.376,0.265,0.00317254357188034,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"SCO2",0.00000000136100074755945,0.822087223916858,0.538,0.418,0.0000498139883614234,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"CBX6",0.0000000000138682612646435,0.697673757749429,0.614,0.473,0.000000507592230547216,"Dendritic cells","Healthy_vs_SNMG_Pre","Upregulated"
"MYL4",0.000000309784373037623,3.75838555409617,0.111,0.041,0.01133841783755,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"IFI44L",0.000000000000000000000000000000315038649249415,2.38835122623787,0.302,0.063,0.0000000000000000000000000115307296011779,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"IFIT3",0.0000000000248539019240308,2.11759893267052,0.149,0.045,0.000000909677664321451,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"C19orf33",0.000000012115073226925,2.00850219824463,0.147,0.057,0.000443423795178683,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"CMPK2",0.000000000184597198162411,1.90888806100343,0.135,0.04,0.00000675644204994241,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"IFI6",0.0000000000000000000443715700571499,1.79589177416669,0.378,0.175,0.00000000000000162404383566174,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"MX1",0.00000000000000757622143320712,1.6591885896109,0.307,0.139,0.000000000277297280676814,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"AP001189.1",0.00000000000333179653033843,1.60457315216437,0.22,0.086,0.000000121947084806917,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"IFI44",0.0000000000793273289048163,1.58463752047284,0.227,0.101,0.00000290345956524518,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
"EGR1",0.000000439273900486621,1.53645335310307,0.293,0.194,0.0160778640317108,"Monocytes","Healthy_vs_SNMG_Pre","Upregulated"
